gene,logfoldchange,pval_adj,score
ENSG00000288859,0.29751265,1.0,0.5476907
ENSG00000286044,0.297268,1.0,0.87231106
ENSG00000198763,0.29618847,1.0,1.4819268
ENSG00000198712,0.29501283,1.0,1.8786112
ENSG00000100311,0.2944642,1.0,1.6163734
ENSG00000248810,0.2870906,1.0,0.7001773
ENSG00000275119,0.2855261,1.0,0.29649916
ENSG00000235576,0.28090882,1.0,0.017078808
ENSG00000186314,0.28066826,1.0,1.2212462
ENSG00000109458,0.2706626,1.0,1.4045454
ENSG00000107282,0.27034354,1.0,1.7978156
ENSG00000250697,0.2656768,1.0,0.031216308
ENSG00000139946,0.264887,1.0,1.2585566
ENSG00000253161,0.26251572,1.0,0.5310348
ENSG00000174944,0.26200116,1.0,0.3464053
ENSG00000185338,0.26168758,1.0,0.023115216
ENSG00000117115,0.26026574,1.0,1.3713337
ENSG00000120278,0.26016194,1.0,0.45058525
ENSG00000145781,0.2600725,1.0,1.9696418
ENSG00000205628,0.25874782,1.0,0.03831774
ENSG00000204103,0.25611296,1.0,0.9994217
ENSG00000140988,0.25258067,1.0,1.3757168
ENSG00000183878,0.25003695,1.0,1.0097835
ENSG00000186417,0.24787953,1.0,1.6666564
ENSG00000143546,0.24500799,1.0,0.27874368
ENSG00000152953,0.24127097,1.0,1.2816795
ENSG00000173077,0.2394934,1.0,0.36641386
ENSG00000066382,0.23878834,1.0,0.382047
ENSG00000158270,0.23400407,1.0,0.21172032
ENSG00000285679,0.23292622,1.0,0.73561907
ENSG00000248538,0.23238377,1.0,0.19620252
ENSG00000135540,0.23105147,1.0,1.5861607
ENSG00000004799,0.2270172,1.0,0.91581166
ENSG00000253438,0.22686125,1.0,0.21275842
ENSG00000099250,0.22660397,1.0,1.0509119
ENSG00000147488,0.22652009,1.0,0.48656532
ENSG00000182836,0.22619766,1.0,0.47320062
ENSG00000250131,0.22288628,1.0,0.53531027
ENSG00000245164,0.22087629,1.0,0.18070394
ENSG00000165675,0.22068107,1.0,1.0478399
ENSG00000152104,0.22052853,1.0,0.710766
ENSG00000106366,0.22045112,1.0,0.34391767
ENSG00000112576,0.21964003,1.0,1.3121384
ENSG00000229117,0.21951574,1.0,1.1453874
ENSG00000237877,0.21746215,1.0,1.1164126
ENSG00000138326,0.2174013,1.0,1.1862736
ENSG00000173482,0.21700914,1.0,1.0379624
ENSG00000173391,0.21684885,1.0,1.1206728
ENSG00000038427,0.21587738,1.0,0.20631446
ENSG00000133048,0.21555787,1.0,0.29852927
ENSG00000145687,0.21473542,1.0,1.5577703
ENSG00000133121,0.21412228,1.0,0.45158106
ENSG00000244734,0.21402349,1.0,0.012930218
ENSG00000173436,0.21391547,1.0,1.0960542
ENSG00000173926,0.21281908,1.0,1.1414657
ENSG00000125148,0.21164297,1.0,0.48413536
ENSG00000184156,0.21045133,1.0,1.9930491
ENSG00000253535,0.21010068,1.0,1.2159595
ENSG00000099860,0.20657964,1.0,0.1873363
ENSG00000140025,0.20426756,1.0,0.4985074
ENSG00000228065,0.20396368,1.0,0.09950463
ENSG00000051341,0.20304716,1.0,0.12753356
ENSG00000170873,0.2028587,1.0,1.4898779
ENSG00000161405,0.20170368,1.0,0.12625706
ENSG00000164761,0.2008048,1.0,0.12638779
ENSG00000109911,0.1979061,1.0,1.1197115
ENSG00000136573,0.19697271,1.0,0.018847438
ENSG00000134539,0.19695666,1.0,0.22726503
ENSG00000114861,0.19617535,1.0,0.41347864
ENSG00000165409,0.19608125,1.0,0.5270208
ENSG00000250903,0.19583756,1.0,1.6289307
ENSG00000249464,0.19527288,1.0,0.6885351
ENSG00000156508,0.1935048,1.0,0.7496028
ENSG00000258733,0.19332825,1.0,0.851472
ENSG00000142534,0.19319686,1.0,0.899002
ENSG00000067798,0.19091533,1.0,0.08984637
ENSG00000143344,0.19049239,1.0,0.8240198
ENSG00000109794,0.18895596,1.0,0.6733095
ENSG00000119508,0.18836607,1.0,0.026214164
ENSG00000168329,0.1879842,1.0,1.2959132
ENSG00000164484,0.18609074,1.0,-0.004237021
ENSG00000127152,0.18378653,1.0,0.13916805
ENSG00000101463,0.18309267,1.0,0.9329981
ENSG00000149806,0.181371,1.0,0.7492721
ENSG00000111371,0.1813202,1.0,0.26113427
ENSG00000176728,0.17792344,1.0,0.586639
ENSG00000167526,0.1776926,1.0,1.0454291
ENSG00000221869,0.17749916,1.0,0.93075275
ENSG00000106066,0.1745865,1.0,1.4072138
ENSG00000112149,0.17406498,1.0,0.32630444
ENSG00000253474,0.1736183,1.0,0.08959261
ENSG00000122862,0.17257491,1.0,0.744766
