"pseudotime_L1","pseudotime_L2","disease_group","cluster","Braak","ADNC"
9.00755329655268,9.11901362821716,"AD_Low_Int","2","Braak IV","Intermediate"
9.05370061352276,9.32659385121131,"AD_High","2","Braak V","High"
8.86664896388913,9.11661207224668,"AD_Low_Int","2","Braak IV","Low"
13.8671002726643,11.1694439761258,"AD_High","2","Braak V","High"
11.2726130518929,11.5122153382075,"AD_High","2","Braak V","High"
3.88703859947992,3.66550842561531,"AD_Low_Int","2","Braak VI","Intermediate"
0,NA,"AD_High","0","Braak V","High"
4.06360645573639,3.85608328221682,"AD_Low_Int","2","Braak IV","Low"
4.11055251255998,3.89278473049033,"AD_High","2","Braak V","High"
8.73060703351845,8.9797248331057,"Control","2","Braak IV","Not AD"
7.0460252355193,6.76272348057988,"AD_High","2","Braak VI","High"
2.34815272432268,NA,"AD_High","5","Braak V","High"
11.8109710643849,13.601203213028,"AD_High","2","Braak V","High"
4.19438085030257,3.97142042899654,"AD_High","2","Braak V","High"
4.18538833093216,NA,"AD_High","0","Braak V","High"
11.4565503733684,11.9167159723835,"AD_High","2","Braak V","High"
5.7810639961822,NA,"AD_Low_Int","2","Braak V","Intermediate"
4.65617117701461,4.42887117876563,"AD_Low_Int","2","Braak III","Low"
9.4723414670356,9.70586299350045,"AD_High","2","Braak V","High"
10.5766314057864,6.19627998561849,"AD_Low_Int","2","Braak V","Intermediate"
7.54998900572691,7.29400473312376,"Control","2","Braak IV","Not AD"
12.5112254925357,12.372631122817,"AD_High","2","Braak VI","High"
9.26730730245946,9.72954353369527,"AD_High","2","Braak V","High"
11.4836575486675,NA,"AD_High","2","Braak V","High"
11.4159034196288,4.4477102655025,"AD_Low_Int","2","Braak IV","Intermediate"
13.4803344841842,12.6145663826558,"AD_High","2","Braak V","High"
13.7751649495178,11.8676887265471,"AD_High","2","Braak V","High"
11.1103354057848,11.6633890090318,"AD_Low_Int","2","Braak III","Intermediate"
9.38251215632131,10.0550487832071,"AD_High","2","Braak V","High"
2.71731007416648,NA,"AD_High","5","Braak V","High"
11.4017897875428,11.8950878905693,"AD_High","2","Braak V","High"
3.49067504331835,3.28013417339079,"AD_High","2","Braak V","High"
9.29383201258131,9.89179423073689,"AD_High","2","Braak VI","High"
12.6071858475206,11.8826530799132,"AD_High","2","Braak V","High"
14.9562751739455,10.5583641184634,"Control","2","Braak IV","Not AD"
7.85419022254516,7.84975248785926,"Control","2","Braak IV","Not AD"
3.78453500822113,3.59926173074496,"AD_Low_Int","4","Braak II","Low"
13.3526711799302,11.3956043347424,"AD_High","2","Braak VI","High"
9.18400790212658,9.57949614070529,"AD_High","2","Braak V","High"
9.00060940994431,9.421366294449,"AD_Low_Int","2","Braak II","Low"
