"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ENSG00000128487",3.13145952792062e-128,-0.853155213702426,0.438,0.669,1.11113578429207e-123
"ENSG00000012779",4.07334478369262e-128,-0.775832953925163,0.474,0.707,1.44534492959765e-123
"ENSG00000285534",1.42643747178535e-127,-1.06827756994385,0.301,0.552,5.06142808113595e-123
"ENSG00000198938",2.59421588980285e-127,0.73583951208053,0.742,0.566,9.20505624178747e-123
"ENSG00000185345",8.173144269801e-127,-0.753015148955828,0.5,0.716,2.90007678125349e-122
"ENSG00000028277",1.09008277688558e-126,-0.865784179635762,0.429,0.662,3.8679407172231e-122
"ENSG00000086730",7.73751227979862e-126,-1.08231510155832,0.322,0.561,2.74550148224094e-121
"ENSG00000147408",7.88156760086872e-126,-0.629894820939922,0.575,0.808,2.79661663181625e-121
"ENSG00000227502",2.89384545743982e-125,-2.82192933967459,0.065,0.292,1.02682318366337e-120
"ENSG00000104447",3.00419942462152e-125,0.702976025941892,0.728,0.572,1.06598008183845e-120
"ENSG00000196935",1.2786724589228e-124,-0.623202941025019,0.573,0.797,4.53711348599576e-120
"ENSG00000185650",1.5526574044705e-124,-0.64509212744738,0.606,0.779,5.50929426828268e-120
"ENSG00000196220",1.62749531119294e-124,-0.987811133138072,0.371,0.596,5.77484161270589e-120
"ENSG00000273409",4.46815715441526e-124,-2.33486285803926,0.084,0.317,1.58543620310117e-119
"ENSG00000204287",1.60213971484794e-123,-1.26008036215701,0.258,0.501,5.68487235019494e-119
"ENSG00000136770",2.34950681768726e-123,0.956682651172689,0.549,0.328,8.33675504119969e-119
"ENSG00000286618",5.60925535416623e-123,-2.39712317835612,0.084,0.316,1.9903320773188e-118
"ENSG00000145390",7.09315749763786e-123,-0.95863137975066,0.375,0.607,2.51686507488684e-118
"ENSG00000114251",1.9622451397985e-122,-2.14579478730678,0.1,0.333,6.96263442954701e-118
"ENSG00000145730",3.15396860496564e-122,1.17565103886545,0.441,0.237,1.11912268009996e-117
"ENSG00000174125",4.06525598896395e-122,-1.00099317492518,0.367,0.581,1.44247478256408e-117
"ENSG00000017260",1.19454703967727e-121,-0.753952687983616,0.5,0.694,4.23861126088686e-117
"ENSG00000166128",2.93956272262598e-121,0.875883428319835,0.59,0.367,1.04304504086938e-116
"ENSG00000196352",3.33924048434242e-121,1.49030199647479,0.326,0.148,1.18486270105922e-116
"ENSG00000068724",4.30984108418712e-121,-0.843612424508896,0.453,0.658,1.52926091190212e-116
"ENSG00000148908",5.40510491207369e-121,-1.17071507819538,0.294,0.526,1.91789337595111e-116
"ENSG00000198763",9.02505317918189e-121,0.90136689498066,0.599,0.39,3.20235961956911e-116
"ENSG00000072786",1.61885265492023e-120,0.778298248931783,0.672,0.466,5.74417487545345e-116
"ENSG00000075420",1.87321129509164e-120,0.570786043671855,0.799,0.647,6.64671563837366e-116
"ENSG00000189283",2.00699699735922e-120,-0.513064332686395,0.68,0.868,7.12142744572972e-116
"ENSG00000147324",1.45583209854637e-119,1.24926443812408,0.338,0.151,5.1657290352721e-115
"ENSG00000154330",2.72700784293761e-118,-1.57320013000212,0.178,0.412,9.67624192909552e-114
"ENSG00000173926",9.66178489453536e-118,-1.24864166485775,0.234,0.478,3.42829113412798e-113
"ENSG00000108669",7.26765062811976e-117,0.628178800335965,0.757,0.583,2.57878047237574e-112
